Designator,Mid X,Mid Y,Rotation,Layer
BT1,138.335,-101.739048,0.0,top
BT2,160.371087,-101.814048,180.0,top
D1,25.5175,-53.108503,90.0,top
D10,82.6675,-69.014503,90.0,top
D11,101.7175,-71.395503,90.0,top
D12,120.7675,-73.776503,90.0,top
D13,25.5175,-95.208503,90.0,top
D14,44.5675,-95.208503,90.0,top
D15,63.6175,-90.445503,90.0,top
D16,82.6675,-88.064503,90.0,top
D17,101.7175,-90.445503,90.0,top
D18,120.7675,-92.826503,90.0,top
D19,25.5175,-114.258503,90.0,top
D2,44.5675,-53.108503,90.0,top
D20,44.5675,-114.258503,90.0,top
D21,63.6175,-109.495503,90.0,top
D22,82.6675,-107.114503,90.0,top
D23,101.7175,-109.495503,90.0,top
D24,120.7675,-111.876503,90.0,top
D25,68.6975,-130.926503,90.0,top
D26,92.195,-130.926503,90.0,top
D27,112.60732147291561,-135.0532701539934,78.06,top
D28,131.7063634478962,-143.3018468284211,66.12,top
D29,177.917487,-54.726545,90.0,top
D3,63.6175,-52.345503,90.0,top
D30,196.967487,-52.345545,90.0,top
D31,216.017487,-49.964545,90.0,top
D32,235.067487,-52.345545,90.0,top
D33,254.117487,-54.108545,90.0,top
D34,273.167487,-57.108545,90.0,top
D35,177.917487,-73.776545,90.0,top
D36,196.967487,-71.395545,90.0,top
D37,216.017487,-69.014545,90.0,top
D38,235.067487,-71.395545,90.0,top
D39,254.117487,-76.158545,90.0,top
D4,82.6675,-49.964503,90.0,top
D40,273.167487,-76.158545,90.0,top
D41,177.917487,-92.826545,90.0,top
D42,196.967487,-90.445545,90.0,top
D43,216.017487,-88.064545,90.0,top
D44,235.067487,-90.445545,90.0,top
D45,254.117487,-95.208545,90.0,top
D46,273.167487,-95.208545,90.0,top
D47,177.917487,-111.876545,90.0,top
D48,196.967487,-109.495545,90.0,top
D49,216.017487,-107.114545,90.0,top
D5,101.7175,-52.345503,90.0,top
D50,235.067487,-109.495545,90.0,top
D51,254.117487,-114.258545,90.0,top
D52,273.167487,-114.258545,90.0,top
D53,166.9650925521038,-143.31550782842112,113.88,top
D54,186.0808785270844,-135.0532981539934,101.94,top
D55,206.492487,-132.364045,90.0,top
D56,229.989487,-132.364045,90.0,top
D6,120.7675,-51.726503,90.0,top
D7,25.5175,-76.158503,90.0,top
D8,44.5675,-76.158503,90.0,top
D9,63.6175,-71.395503,90.0,top
RE1D1,135.335,-127.468503,0.0,top
RE1D2,163.422487,-127.474048,180.0,top
RE1SW1,135.435,-117.218503,270.0,top
RE1SW2,163.271087,-117.294048,270.0,top
SLSW1,127.63,-102.264048,90.0,top
SLSW2,171.671087,-102.339048,90.0,top
SW1,15.9925,-56.156003,0.0,top
SW10,73.1425,-68.062003,0.0,top
SW11,92.1925,-70.443003,0.0,top
SW12,111.2425,-72.824003,0.0,top
SW13,15.9925,-94.256003,0.0,top
SW14,35.0425,-94.256003,0.0,top
SW15,54.0925,-89.493003,0.0,top
SW16,73.1425,-87.112003,0.0,top
SW17,92.1925,-89.493003,0.0,top
SW18,111.2425,-91.874003,0.0,top
SW19,15.9925,-113.306003,0.0,top
SW2,35.0425,-56.156003,0.0,top
SW20,35.0425,-113.306003,0.0,top
SW21,54.0925,-108.543003,0.0,top
SW22,73.1425,-106.162003,0.0,top
SW23,92.1925,-108.543003,0.0,top
SW24,111.2425,-110.924003,0.0,top
SW25,59.1725,-129.869003,0.0,top
SW26,82.67,-129.869003,0.0,top
SW27,103.50718,-132.048049,348.06,top
SW28,123.424848,-138.47894,336.12,top
SW29,187.442487,-53.774045,0.0,top
SW3,54.0925,-51.393003,0.0,top
SW30,206.492487,-51.393045,0.0,top
SW31,225.542487,-49.012045,0.0,top
SW32,244.592487,-51.393045,0.0,top
SW33,263.642487,-56.156045,0.0,top
SW34,282.692487,-56.156045,0.0,top
SW35,187.442487,-72.824045,0.0,top
SW36,206.492487,-70.443045,0.0,top
SW37,225.542487,-68.062045,0.0,top
SW38,244.592487,-70.443045,0.0,top
SW39,263.642487,-75.206045,0.0,top
SW4,73.1425,-49.012003,0.0,top
SW40,282.692487,-75.206045,0.0,top
SW41,187.442487,-91.874045,0.0,top
SW42,206.492487,-89.493045,0.0,top
SW43,225.542487,-87.112045,0.0,top
SW44,244.592487,-89.493045,0.0,top
SW45,263.642487,-94.256045,0.0,top
SW46,282.692487,-94.256045,0.0,top
SW47,187.442487,-110.924045,0.0,top
SW48,206.492487,-108.543045,0.0,top
SW49,225.542487,-106.162045,0.0,top
SW5,92.1925,-51.393003,0.0,top
SW50,244.592487,-108.543045,0.0,top
SW51,263.642487,-113.306045,0.0,top
SW52,282.692487,-113.306045,0.0,top
SW53,175.289113,-138.588621,23.88,top
SW54,195.202734,-132.150815,11.94,top
SW55,216.017487,-129.974045,0.0,top
SW56,239.514487,-129.974045,0.0,top
SW6,111.2425,-53.774003,0.0,top
SW7,15.9925,-75.206003,0.0,top
SW8,35.0425,-75.206003,0.0,top
SW9,54.0925,-70.443003,0.0,top
U1,133.5836,-80.660503,0.0,bottom
U2,165.122487,-80.734048,0.0,top
